group_number,group_id,longitude,latitude,time,particles,geometry,index_right,ID,GRIDCODE,Wetland,Shape_Area,Shape_Len,start_lat,start_lon
005,0,-83.54501,45.354725,2023-09-14 12:00:00,5,POINT (-83.54501342773438 45.3547248840332),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
006,0,-84.02713,45.496418,2023-09-12 00:00:00,6,POINT (-84.02713012695312 45.49641799926758),32,12665,15,Emergent Wetland,243728.557694,4507.94289755,45.4966678729,-84.0271342199
018,0,-83.81418,45.42403,2023-09-14 06:00:00,18,POINT (-83.81417846679688 45.42403030395508),160,38035,15,Emergent Wetland,50435.8723767,1066.21058446,45.4242073767,-83.8138944519
027,0,-84.13107,45.565197,2023-01-13 06:00:00,27,POINT (-84.13107299804688 45.5651969909668),0,4592,15,Emergent Wetland,122693.457158,2132.42298768,45.5649091885,-84.1303563403
037,0,-83.968994,45.49509,2023-09-13 00:00:00,37,POINT (-83.968994140625 45.49509048461914),73,13520,15,Emergent Wetland,307618.730946,4672.35683867,45.4945823946,-83.9674749807
041,0,-83.49106,45.35652,2023-08-20 06:00:00,41,POINT (-83.49105834960938 45.35652160644531),203,75147,23,Shrub Wetland,2218065.25951,20098.900505,45.3530208369,-83.4899152567
1000,10,-83.61493,45.363503,2023-04-01 06:00:00,358,POINT (-83.61492919921875 45.363502502441406),187,67769,23,Shrub Wetland,270715.70174,4671.8701162,45.3633122584,-83.6158966549
10000,100,-82.69974,43.936382,2023-07-21 18:00:00,3866,POINT (-82.69973754882812 43.93638229370117),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10002,100,-82.61334,43.743774,2023-07-04 06:00:00,3868,POINT (-82.61334228515625 43.7437744140625),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10004,100,-82.61655,43.76331,2023-07-20 06:00:00,3870,POINT (-82.61654663085938 43.763309478759766),3361,794500,18,Phragmites,2081250.88047,18875.0637708,43.7614476855,-82.6173597452
10005,100,-82.65115,43.864,2023-07-19 00:00:00,3871,POINT (-82.65115356445312 43.86399841308594),2518,705532,18,Phragmites,56263460.0218,288383.992067,44.0079361659,-82.7628466686
10008,100,-82.53458,43.370415,2023-06-04 06:00:00,3874,POINT (-82.53457641601562 43.37041473388672),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
1001,10,-83.580475,45.35057,2023-01-01 00:00:00,359,POINT (-83.58047485351562 45.35057067871094),211,81409,23,Shrub Wetland,12086676.545,74549.8196307,45.3452117347,-83.5819892159
10010,100,-82.62482,43.802742,2023-07-04 18:00:00,3876,POINT (-82.62481689453125 43.80274200439453),2982,751158,18,Phragmites,302848.751582,4266.74221296,43.803574969,-82.6249860318
10011,100,-82.5347,43.37051,2023-06-04 06:00:00,3877,POINT (-82.53469848632812 43.37051010131836),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
10014,100,-82.53555,43.365513,2023-03-03 18:00:00,3880,POINT (-82.53555297851562 43.36551284790039),4296,1224080,18,Phragmites,227145.469016,3611.69285775,43.3660356392,-82.5360144639
10017,100,-82.53482,43.370533,2023-03-03 12:00:00,3883,POINT (-82.53482055664062 43.37053298950195),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
10023,100,-82.92404,44.069237,2023-07-24 12:00:00,3889,POINT (-82.92404174804688 44.069236755371094),1470,627618,18,Phragmites,13175321.9903,96448.3195328,44.0585287625,-82.8992577071
10026,100,-82.53409,43.37082,2023-01-04 06:00:00,3892,POINT (-82.53408813476562 43.370819091796875),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
10027,100,-82.63495,43.830627,2023-07-04 06:00:00,3893,POINT (-82.63494873046875 43.83062744140625),2710,727212,18,Phragmites,1017903.22719,11896.005568,43.8324647105,-82.6353850954
10028,100,-82.6098,43.737465,2023-07-04 00:00:00,3894,POINT (-82.60980224609375 43.737464904785156),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
1003,10,-83.54523,45.354576,2023-02-01 12:00:00,361,POINT (-83.54522705078125 45.354576110839844),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
1004,10,-83.539276,45.35746,2023-03-08 12:00:00,362,POINT (-83.53927612304688 45.357460021972656),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
1005,10,-83.5455,45.35467,2023-01-01 12:00:00,363,POINT (-83.54550170898438 45.354671478271484),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
1006,10,-83.54227,45.35686,2023-01-01 12:00:00,364,POINT (-83.54226684570312 45.35686111450195),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
1007,10,-83.54434,45.35523,2023-01-01 12:00:00,365,POINT (-83.54434204101562 45.355228424072266),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
1009,10,-83.58249,45.35257,2023-01-01 00:00:00,367,POINT (-83.58248901367188 45.352569580078125),211,81409,23,Shrub Wetland,12086676.545,74549.8196307,45.3452117347,-83.5819892159
1010,10,-83.544495,45.356667,2023-05-01 18:00:00,368,POINT (-83.54449462890625 45.356666564941406),212,82838,24,Forested Wetland,34411619.1647,126688.018075,45.3466406802,-83.5520858944
10100,101,-82.61197,43.74232,2023-07-04 00:00:00,3895,POINT (-82.61196899414062 43.7423210144043),3537,825287,18,Phragmites,3250596.49373,27244.590861,43.7333718641,-82.6112132143
10101,101,-82.53009,43.332912,2023-11-20 18:00:00,3896,POINT (-82.53009033203125 43.33291244506836),4304,1263755,18,Phragmites,70667.6635371,1641.58686233,43.3336371863,-82.5300667956
10102,101,-82.53436,43.370876,2023-01-04 18:00:00,3897,POINT (-82.53436279296875 43.37087631225586),4294,1217676,18,Phragmites,220415.370905,3528.56517401,43.3699700945,-82.5349241881
10103,101,-82.62482,43.80251,2023-07-04 18:00:00,3898,POINT (-82.62481689453125 43.80250930786133),2982,751158,18,Phragmites,302848.751582,4266.74221296,43.803574969,-82.6249860318
10104,101,-82.63504,43.830612,2023-07-04 06:00:00,3899,POINT (-82.63504028320312 43.83061218261719),2710,727212,18,Phragmites,1017903.22719,11896.005568,43.8324647105,-82.6353850954
10105,101,-82.53015,43.333286,2023-03-03 12:00:00,3900,POINT (-82.5301513671875 43.33328628540039),4304,1263755,18,Phragmites,70667.6635371,1641.58686233,43.3336371863,-82.5300667956
10106,101,-82.60181,43.637672,2023-07-04 00:00:00,3901,POINT (-82.601806640625 43.637672424316406),4122,922744,18,Phragmites,365104.47377,4514.28048213,43.6371798025,-82.6019820515
10109,101,-82.6221,43.79509,2023-07-04 00:00:00,3904,POINT (-82.62210083007812 43.79508972167969),3156,766626,18,Phragmites,979211.630355,12392.4543821,43.792146423,-82.6233288635
1011,10,-83.31659,45.11764,2023-09-12 00:00:00,369,POINT (-83.31658935546875 45.11764144897461),369,188692,18,Phragmites,37000.1767357,902.366928009,45.1177122731,-83.3168796116
10111,101,-83.04205,44.027294,2023-07-30 06:00:00,3906,POINT (-83.04205322265625 44.02729415893555),1519,636261,18,Phragmites,3308676.05433,21578.6492564,44.0250012818,-83.0413526083
10114,101,-82.5365,43.358086,2023-03-04 00:00:00,3909,POINT (-82.5364990234375 43.35808563232422),4300,1232486,18,Phragmites,90858.143066,1641.26286722,43.3575303132,-82.5368813313
